Date,Open*,High,Low,Close**,Volume,Market Cap
14-06-18,"6,342.75","6,707.14","6,334.46","6,675.35",5138710000.00,108408000000.00
13-06-18,"6,596.88","6,631.66","6,285.63","6,349.90",5052350000.00,112740000000.00
12-06-18,"6,905.82","6,907.96","6,542.08","6,582.36",4654380000.00,118007000000.00
11-06-18,"6,799.29","6,910.18","6,706.63","6,906.92",4745270000.00,116175000000.00
10-06-18,"7,499.55","7,499.55","6,709.07","6,786.02",5804840000.00,128128000000.00
09-06-18,"7,632.52","7,683.58","7,531.98","7,531.98",3845220000.00,130386000000.00
08-06-18,"7,685.14","7,698.19","7,558.40","7,624.92",4227580000.00,131271000000.00
07-06-18,"7,650.82","7,741.27","7,650.82","7,678.24",4485800000.00,130671000000.00
06-06-18,"7,625.97","7,680.43","7,502.01","7,653.98",4692260000.00,130233000000.00
05-06-18,"7,500.90","7,643.23","7,397.00","7,633.76",4961740000.00,128081000000.00
04-06-18,"7,722.53","7,753.82","7,474.04","7,514.47",4993170000.00,131847000000.00
03-06-18,"7,632.09","7,754.89","7,613.04","7,720.25",4851760000.00,130288000000.00
02-06-18,"7,536.72","7,695.83","7,497.26","7,643.45",4939300000.00,128645000000.00
01-06-18,"7,500.70","7,604.73","7,407.34","7,541.45",4921460000.00,128014000000.00
31-05-18,"7,406.15","7,608.90","7,361.13","7,494.17",5127130000.00,126386000000.00
30-05-18,"7,469.73","7,573.77","7,313.60","7,406.52",4922540000.00,127454000000.00
29-05-18,"7,129.46","7,526.42","7,090.68","7,472.59",5662660000.00,121636000000.00
28-05-18,"7,371.31","7,419.05","7,100.89","7,135.99",5040600000.00,125748000000.00
27-05-18,"7,362.08","7,381.74","7,270.96","7,368.22",4056520000.00,125575000000.00
26-05-18,"7,486.48","7,595.16","7,349.12","7,355.88",4051540000.00,127682000000.00
25-05-18,"7,592.30","7,659.14","7,392.65","7,480.14",4867830000.00,129470000000.00
24-05-18,"7,561.12","7,738.60","7,331.14","7,587.34",6049220000.00,128925000000.00
23-05-18,"8,037.08","8,054.66","7,507.88","7,557.82",6491120000.00,137024000000.00
22-05-18,"8,419.87","8,423.25","8,004.58","8,041.78",5137010000.00,143534000000.00
21-05-18,"8,522.33","8,557.52","8,365.12","8,418.99",5154990000.00,145264000000.00
20-05-18,"8,246.99","8,562.41","8,205.24","8,513.25",5191060000.00,140556000000.00
19-05-18,"8,255.73","8,372.06","8,183.35","8,247.18",4712400000.00,140689000000.00
18-05-18,"8,091.83","8,274.12","7,974.82","8,250.97",5764190000.00,137881000000.00
17-05-18,"8,370.05","8,445.54","8,054.12","8,094.32",5862530000.00,142608000000.00
16-05-18,"8,504.41","8,508.43","8,175.49","8,368.83",6760220000.00,144878000000.00
15-05-18,"8,705.19","8,836.19","8,456.45","8,510.38",6705710000.00,148283000000.00
14-05-18,"8,713.10","8,881.12","8,367.97","8,716.79",7364150000.00,148403000000.00
13-05-18,"8,515.49","8,773.55","8,395.12","8,723.94",5866380000.00,145022000000.00
12-05-18,"8,441.44","8,664.86","8,223.50","8,504.89",6821380000.00,143743000000.00
11-05-18,"9,052.96","9,052.96","8,394.46","8,441.49",8488520000.00,154142000000.00
10-05-18,"9,325.96","9,396.04","9,040.52","9,043.94",6906700000.00,158772000000.00
09-05-18,"9,223.73","9,374.76","9,031.62","9,325.18",7226890000.00,157013000000.00
08-05-18,"9,380.87","9,462.75","9,127.77","9,234.82",7415870000.00,159672000000.00
07-05-18,"9,645.67","9,665.85","9,231.53","9,373.01",7394020000.00,164161000000.00
06-05-18,"9,845.31","9,940.14","9,465.25","9,654.80",7222280000.00,167541000000.00
05-05-18,"9,700.28","9,964.50","9,695.12","9,858.15",7651940000.00,165055000000.00
